,g_otherprim,g_energy,g_procfoods
194,16.1624,5.7807,437.002
195,2.9236,0.8645,20.5394
196,0.9195,0.4197,31.6819
197,6.484,3.5618,82.5162
198,50.7707,38.9624,968.916
199,189.742,55.8903,3068.86
200,60.6881,6.3787,193.776
201,28.9679,18.9768,244.157
202,63.6097,27.4385,601.271
203,15.6284,9.2005,141.275
204,124.836,130.482,706.984
205,31.889,51.5872,425.683
206,3.1477,4.3978,46.9765
207,10.113,17.0202,104.071
208,160.98,85.7779,5615.05
209,196.479,76.8038,1383.07
210,74.2246,90.9136,953.85
211,281.756,626.566,4382.39
212,58.1833,82.703,629.343
213,626.071,417.684,4768.99
214,179.152,99.1369,1360.72
215,32.4155,26.3573,393.024
216,1.4772,0.0052,60.999
217,1933.24,0.0044,0.3431
218,1.8158,27.5643,0.6556
219,0.2926,0.0029,91.9954
220,0.0013,0.0,0.008
221,0.001,0.0,0.0006
222,0.0158,0.0002,0.0272
223,0.0252,0.0003,0.2096
224,0.6987,0.0073,1.1087
225,0.3418,0.0041,0.4462
226,0.6306,0.0064,0.3115
227,6.3883,0.0562,0.0583
228,0.0053,0.0001,0.0016
229,1.2064,0.0105,0.6993
230,0.0017,0.0001,0.0013
231,0.0603,0.0018,0.0089
232,1.0408,0.0103,1.9349
233,2.7132,0.095,1.6642
234,9.335,0.1258,0.9886
235,19.5919,0.3952,13.7311
236,14.5156,0.1981,2.4994
237,2.8726,0.1688,1.099
238,0.0442,0.0013,0.0533
239,0.0093,0.0002,0.0066
240,15.9734,0.3512,3.5931
241,2.9126,0.15,3.6793
242,0.0027,0.0001,0.0009
243,11.8102,10.2398,4354.01
244,2417.98,84.4494,562.164
245,441.907,13807.0,889.042
246,21.7964,14.973,9679.58
247,1.0858,1.3467,4.5516
248,7.2762,7.6943,22.5703
249,2.1076,4.0939,5.7957
250,0.3168,1.0067,0.7775
251,5.7361,21.2022,43.7344
252,30.6917,97.8291,731.557
253,51.802,127.821,582.744
254,6.8365,23.0219,58.5691
255,15.9531,35.1268,53.7567
256,24.4949,53.3691,221.167
257,13.1938,12.7329,12.2419
258,34.3504,107.901,70.5685
259,4.0082,24.0976,26.9763
260,6.456,28.8682,54.3861
261,53.8504,341.392,167.485
262,292.506,402.061,2169.85
263,264.902,755.817,610.437
264,40.003,125.683,207.529
265,137.128,924.537,711.354
266,25.3044,124.509,117.303
267,217.114,980.139,899.544
268,68.1752,135.656,259.457
269,234.207,1688.29,186.509
270,0.2406,1.826,2380.72
271,241.757,1.7276,11.633
272,14.2422,967.478,86.3409
273,0.1844,1.1906,3193.28
274,0.1704,1.5956,6.6113
275,0.0621,0.2879,1.4772
276,0.04,0.3749,1.4113
277,0.0057,0.0228,0.6067
278,0.3841,0.7379,13.008
279,1.1525,6.1207,144.497
280,2.6834,25.069,142.603
281,0.5918,3.0405,14.8316
282,3.6299,29.2273,37.3466
283,0.8859,2.848,46.778
284,4.9702,28.1558,65.5099
285,2.5309,20.5238,55.3575
286,0.7277,1.5065,12.0659
287,0.192,0.751,21.4955
288,7.4806,33.5881,106.912
289,5.9468,56.3729,114.66
290,8.176,21.3599,490.504
291,1.7825,18.1673,186.599
292,3.0112,29.4552,78.1223
293,1.2942,20.9162,76.9246
294,18.0429,75.5256,234.34
295,5.9953,27.054,110.964
296,3.0853,18.4471,141.249
297,11.515,0.2465,2435.56
298,2037.73,0.8386,674.915
299,41.2313,233.522,81.0398
300,7.0865,0.1492,2692.28
301,0.6608,0.037,5.3488
302,4.2943,0.1849,16.2945
303,1.8597,0.0955,2.808
304,0.5913,0.0214,1.3689
305,5.8284,0.4444,22.7239
306,8.6544,0.5995,97.9147
307,46.4005,2.1205,145.026
308,18.4534,0.9161,20.3416
309,16.6786,0.9813,52.8565
310,19.879,0.8212,61.339
311,5.6178,0.0932,9.8927
312,15.4049,0.7071,20.0162
313,1.3045,0.1121,4.0342
314,4.3173,0.4562,15.1361
315,10.7266,5.6055,23.516
316,80.8432,5.4276,672.384
317,117.552,5.7868,200.65
318,16.1362,1.1199,87.0018
319,44.5366,5.5331,282.913
320,10.4347,0.7603,54.4403
321,126.861,4.4304,483.492
322,40.0412,1.2916,153.555
323,0.2154,0.0096,0.9349
324,539.202,90.2065,21338.6
325,7384.52,121.875,2536.37
326,411.935,4535.1,1443.24
327,137.401,13.265,13045.4
328,15.3333,9.2915,99.3076
329,71.2494,39.8605,287.571
330,21.6719,16.6464,64.1711
331,5.3037,4.242,16.0681
332,20.9544,11.6212,59.9762
333,61.0159,36.9579,470.66
334,301.238,126.633,1548.69
335,92.1919,71.7835,238.071
336,98.61,83.4461,208.687
337,68.2995,38.6571,184.528
338,120.887,40.5954,189.242
339,353.779,272.017,722.556
340,79.2206,66.7298,346.44
341,16.8285,16.2516,61.9811
342,25.0035,14.9585,85.5985
343,417.155,297.362,2451.32
344,427.109,199.2,1090.42
345,154.76,53.9604,255.74
346,149.13,111.358,564.731
347,22.4849,18.8745,65.3518
348,139.552,64.3687,436.012
349,50.1887,29.7612,286.625
350,75.5196,48.2473,243.862
351,5.4435,8.3775,3717.63
352,280.772,6.716,192.168
353,15.6698,2935.53,243.219
354,2.8992,3.2019,3530.12
355,0.6688,1.225,28.4591
356,0.3675,1.6386,18.9831
357,0.0181,0.6849,0.6242
358,0.0554,0.2466,28.2616
359,0.1287,1.5013,5.7937
360,0.7575,8.1663,96.1963
361,4.6423,25.827,208.461
362,0.3211,7.9275,44.0933
363,0.4159,9.9539,13.7602
364,0.3865,9.1991,13.153
365,0.1906,1.1552,9.5461
366,0.4699,10.6094,11.3157
367,0.129,1.2466,5.273
368,0.1959,2.9029,16.4022
369,0.6413,40.666,17.3405
370,35.7158,103.795,1846.93
371,17.3005,208.264,317.191
372,1.9662,30.0502,96.6512
373,10.1277,273.808,398.067
374,1.2789,34.5669,50.256
375,5.1699,224.107,249.874
376,0.011,0.0601,0.3156
377,2.6895,31.0611,156.085
378,0.038,1.7972,46.9988
379,19.2695,0.4855,0.0546
380,0.2425,385.831,1.4549
381,0.0,0.0004,0.0491
382,0.0,0.0001,0.0001
383,0.0,0.0001,0.0
384,0.0,0.0001,0.0
385,0.0,0.0,0.0
386,0.0247,18.8773,1.6965
387,0.0468,33.7616,4.8849
388,0.2296,37.3513,4.0887
389,0.0056,1.6168,1.6257
390,0.0115,7.0962,0.3641
391,0.11,14.4526,1.2922
392,0.0586,3.0685,0.6315
393,0.2371,31.4033,3.2277
394,0.2111,21.8886,1.696
395,0.0187,20.9362,1.5625
396,0.0358,17.882,2.6177
397,0.5039,92.1006,14.5878
398,0.1964,134.466,19.6914
399,0.0703,53.7244,3.9755
400,0.0349,16.6516,2.7336
401,0.0381,37.6265,2.6676
402,0.4083,70.294,12.7509
403,0.2866,68.5131,5.6668
404,0.0424,39.3745,2.531
405,23.2672,3.2711,719.93
406,99.9095,1.9475,28.4941
407,6.5221,567.332,59.1652
408,10.9225,3.8368,1493.32
409,1.9557,0.7405,17.4616
410,0.9412,0.6915,6.2524
411,1.3313,0.9905,7.1365
412,0.6154,0.3062,2.7752
413,3.0136,2.4765,21.676
414,2.9103,2.3382,53.7752
415,2.8844,4.2875,47.7993
416,4.2843,5.8961,39.1858
417,3.8912,9.3115,27.7791
418,4.0803,9.7366,29.1349
419,1.2431,1.9587,9.8923
420,2.3133,7.4848,15.8764
421,1.6422,1.3787,11.2354
422,3.9055,10.4373,31.8838
423,11.1565,32.2121,90.6336
424,7.5025,7.9449,63.3691
425,11.0474,17.1208,106.04
426,4.8018,8.9441,40.1742
427,3.7486,4.9328,32.5955
428,2.3064,1.7312,14.3771
429,17.1084,43.0722,197.381
430,2.2867,2.9373,21.6155
431,8.4442,10.8052,70.1067
432,43.3788,0.3436,8965.05
433,1753.72,0.4747,266.415
434,61.8903,535.664,1258.45
435,25.5599,0.7977,35031.2
436,4.6927,0.557,171.221
437,2.2244,0.1405,20.4614
438,0.1994,0.0307,3.4698
439,0.1364,0.0209,6.3681
440,4.3774,0.6421,77.0497
441,22.8265,2.8782,1204.94
442,26.8543,2.8771,878.768
443,10.4247,2.7027,377.454
444,4.3984,1.9486,67.1115
445,18.6132,7.5758,283.509
446,20.743,1.1563,370.945
447,36.951,18.9846,618.37
448,6.9574,0.9893,371.114
449,6.3929,0.9243,231.977
450,47.0789,15.476,606.865
451,97.4253,18.5149,4977.62
452,106.829,10.5945,2759.63
453,21.7885,6.1219,668.781
454,9.0456,2.1593,156.414
455,16.642,4.0849,428.359
