,iso3,year,sector_GMatrix,g_primaryagr,g_otherprim,g_energy,g_procfoods,g_bevtobacco,g_textiles,g_clothing,g_leather,g_lumber,g_paperpub,g_chemicals,g_nonmetmin,g_metals,g_fabmetals,g_transpequip,g_machinery,g_othermanuf,g_water,g_construction,g_distribution,g_transport,g_communcation,g_finance,g_insurance,g_obsict,g_oconsumer,g_oservices,sector_HMatrix,h_primaryagr,h_otherprim,h_energy,h_procfoods,h_bevtobacco,h_textiles,h_clothing,h_leather,h_lumber,h_paperpub,h_chemicals,h_nonmetmin,h_metals,h_fabmetals,h_transpequip,h_machinery,h_othermanuf,h_water,h_construction,h_distribution,h_transport,h_communcation,h_finance,h_insurance,h_obsict,h_oconsumer,h_oservices,DomVAshare,GXshare,DXshare,VXsharefwd,VXsharebwd
2,alb,1997,energy,12.8071,3.0441,195.573,19.9136,0.57,7.788,21.7902,17.113,5.2173,4.8667,5.1899,4.1073,14.2867,9.3565,1.9809,4.3321,2.1326,0.2622,35.8618,26.3265,11.4005,0.8181,0.0851,0.1182,6.4698,0.7543,5.4805,energy,2.1284,1.467,103.72,0.5896,0.0649,3.737,19.6156,15.4343,1.9173,0.5194,2.6256,0.84,14.2889,1.348,0.9543,3.2601,1.3847,0.0054,0.073,0.2277,2.8167,0.3293,0.0188,0.0105,0.1329,0.0917,0.2251,0.64915,0.328693,0.542429,0.573427,0.384193
6,alb,1997,clothing,0.0036,0.0003,0.0029,0.0019,0.0,0.0095,9.5336,0.0127,0.002,0.0004,0.0001,0.0001,0.0002,0.0002,0.0,0.0002,0.0,0.0,0.0059,0.0126,0.0023,0.0005,0.0001,0.0001,0.0181,0.0007,0.0073,clothing,0.0006,0.0001,0.0016,0.0001,0.0,0.0046,8.5821,0.0114,0.0007,0.0,0.0,0.0,0.0002,0.0,0.0,0.0002,0.0,0.0,0.0,0.0001,0.0006,0.0002,0.0,0.0,0.0004,0.0001,0.0003,0.143599,0.137626,0.050241,0.027743,0.117492
19,alb,1997,distribution,5.4262,0.3115,7.8977,7.7276,0.0811,0.6477,3.5,2.9684,1.142,0.6402,0.2096,0.1669,0.5772,0.73,0.08,0.4582,0.0861,0.0217,9.4082,185.511,2.9339,0.5051,0.0843,0.1275,3.6297,1.3159,4.6053,distribution,0.9018,0.1501,4.1885,0.2288,0.0092,0.3108,3.1507,2.6772,0.4197,0.0683,0.106,0.0341,0.5773,0.1052,0.0385,0.3448,0.0559,0.0004,0.0191,1.6046,0.7249,0.2033,0.0186,0.0113,0.0746,0.1599,0.1891,0.450259,0.00788,0.00902,0.052797,0.007045
22,alb,1997,finance,1.9537,0.3821,8.2744,1.9526,0.1124,0.4076,1.3431,1.8681,0.4772,0.2611,0.2196,0.174,0.6045,0.4508,0.0838,0.2485,0.0902,0.0612,3.5496,7.7522,1.0736,0.7356,3.8365,0.0708,4.3861,0.3221,3.7485,finance,0.3247,0.1841,4.3882,0.0578,0.0128,0.1956,1.2091,1.6849,0.1754,0.0279,0.1111,0.0356,0.6046,0.0649,0.0404,0.187,0.0586,0.0013,0.0072,0.0671,0.2653,0.2961,0.8464,0.0063,0.0901,0.0391,0.154,0.6453,0.002988,0.004902,0.035908,0.003401
27,arg,1997,primaryagr,13518.8,0.1668,2.8926,17668.4,1962.8,734.408,298.807,364.653,14.7979,29.7711,256.164,6.28,3.3687,20.4851,42.8639,31.8966,12.8125,1.8324,62.2376,29.2992,19.094,9.2554,5.2485,18.7995,66.7768,763.741,1.0142,primaryagr,4316.11,0.1119,1.7093,2687.53,38.5572,25.7034,5.1052,81.3149,0.9597,2.8178,25.5699,0.7965,3.3687,0.4349,5.0909,3.0201,1.4702,0.0055,0.0397,0.0961,3.2192,0.2614,0.0706,0.094,1.2506,3.8938,0.7685,0.774606,0.171972,0.258123,0.274784,0.185986
28,arg,1997,otherprim,27.3186,113.904,18.8369,493.991,143.45,28.856,20.0629,28.5506,310.299,235.396,229.376,192.146,41.9126,128.761,164.745,165.34,7.0595,4.5365,1659.81,71.3189,39.6229,5.9311,3.6223,7.7913,17.2396,184.213,0.5697,otherprim,8.7219,76.4369,11.1312,75.1408,2.8179,1.0099,0.3428,6.3666,20.125,22.2796,22.8959,24.3693,41.9128,2.7334,19.5667,15.655,0.81,0.0136,1.0595,0.2339,6.6804,0.1675,0.0487,0.0389,0.3229,0.9392,0.4317,0.89194,0.002943,0.005086,0.013807,0.003205
29,arg,1997,energy,282.792,1.9522,4426.86,860.107,158.531,200.639,116.962,101.347,66.0733,63.9783,287.11,65.5608,32.6542,164.067,243.042,190.043,30.1123,41.6624,469.244,364.245,1133.89,134.76,47.9624,136.188,189.028,467.427,1.5383,energy,90.2857,1.31,2615.94,130.831,3.1142,7.0221,1.9983,22.5996,4.2853,6.0554,28.6589,8.3149,32.6544,3.4828,28.8659,17.994,3.4552,0.1251,0.2995,1.1945,191.171,3.8064,0.6453,0.6808,3.54,2.3831,1.1656,0.572253,0.105926,0.117457,0.12242,0.111859
30,arg,1997,procfoods,191.879,0.0759,1.662,20529.8,491.159,40.352,31.5101,398.212,7.6608,30.7922,252.202,2.5297,0.5302,8.739,26.3503,19.2964,5.0257,1.1856,29.091,19.5112,12.9795,3.1906,1.9776,9.4036,8.461,604.745,0.5237,procfoods,61.2603,0.051,0.9821,3122.79,9.6483,1.4123,0.5384,88.7982,0.4969,2.9144,25.1744,0.3208,0.5302,0.1855,3.1296,1.8271,0.5767,0.0036,0.0186,0.064,2.1883,0.0901,0.0266,0.047,0.1585,3.0832,0.3968,0.362285,0.255707,0.179508,0.126797,0.271734
31,arg,1997,bevtobacco,2.5798,0.0193,0.4794,27.7796,6266.58,6.4371,4.1565,3.1475,1.5139,2.1613,40.0861,0.6707,0.2139,3.1308,6.2801,5.3277,0.2708,0.2854,7.0238,3.5019,2.7594,1.3679,0.8348,4.7386,2.2632,334.44,0.1112,bevtobacco,0.8236,0.013,0.2833,4.2256,123.101,0.2253,0.071,0.7019,0.0982,0.2046,4.0013,0.0851,0.2139,0.0665,0.7459,0.5045,0.0311,0.0009,0.0045,0.0115,0.4652,0.0386,0.0112,0.0237,0.0424,1.7051,0.0843,0.455827,0.008319,0.007348,0.005252,0.008749
32,arg,1997,textiles,52.0346,0.8256,2.739,164.452,17.1533,7444.79,2865.49,212.932,68.0316,8.4567,140.073,5.7789,0.5358,15.566,61.2854,14.643,5.13,3.6187,97.522,53.3478,40.5088,2.5399,1.4668,4.6601,8.3363,209.982,0.3986,textiles,16.6129,0.5541,1.6186,25.0147,0.337,260.559,48.9575,47.4821,4.4123,0.8004,13.9818,0.7329,0.5358,0.3304,7.2788,1.3865,0.5886,0.0109,0.0622,0.1749,6.8297,0.0717,0.0197,0.0233,0.1561,1.0706,0.302,0.429081,0.014326,0.011911,0.016767,0.014313
33,arg,1997,clothing,0.1812,0.0019,0.8308,1.3588,0.4103,1.4142,3191.09,0.2222,0.1224,0.177,0.5881,0.081,0.0325,0.3639,0.523,0.5298,0.0233,2.7575,0.7226,10.5319,9.1983,0.6397,0.6928,1.489,0.8965,35.672,0.0775,clothing,0.0578,0.0013,0.4909,0.2067,0.0081,0.0495,54.5205,0.0496,0.0079,0.0167,0.0587,0.0103,0.0325,0.0077,0.0621,0.0502,0.0027,0.0083,0.0005,0.0345,1.5508,0.0181,0.0093,0.0074,0.0168,0.1819,0.0587,0.353791,0.005208,0.00357,0.002192,0.005295
34,arg,1997,leather,0.5851,0.0025,0.1836,1.6104,0.2311,2.8869,47.8564,1707.23,3.838,0.2941,0.8757,0.0671,0.0116,0.1562,0.634,3.7973,0.802,0.2638,2.1623,1.1839,0.5738,0.1208,0.042,0.1396,0.2036,6.7826,0.0254,leather,0.1868,0.0017,0.1085,0.245,0.0045,0.101,0.8176,380.698,0.2489,0.0278,0.0874,0.0085,0.0116,0.0033,0.0753,0.3595,0.092,0.0008,0.0014,0.0039,0.0967,0.0034,0.0006,0.0007,0.0038,0.0346,0.0193,0.329457,0.034365,0.021938,0.014607,0.033873
35,arg,1997,lumber,6.7828,0.0963,2.0884,43.4243,7.0397,4.9787,3.6393,19.1745,1693.15,1.4308,21.4982,0.6305,0.1414,9.7092,36.2791,15.811,12.8657,0.4156,687.126,33.2134,11.4736,5.1497,0.5664,2.3094,5.615,88.3865,0.1784,lumber,2.1655,0.0646,1.2341,6.6053,0.1383,0.1742,0.0622,4.2758,109.812,0.1354,2.1459,0.08,0.1414,0.2061,4.3088,1.497,1.4763,0.0012,0.4386,0.1089,1.9344,0.1455,0.0076,0.0115,0.1052,0.4506,0.1352,0.438798,0.007054,0.005998,0.005255,0.006989
36,arg,1997,paperpub,43.8169,0.1113,7.5293,601.069,261.755,56.8929,72.3507,63.9297,9.389,2675.54,277.334,48.0085,2.3293,46.9086,83.6773,72.4168,5.4422,5.2124,233.252,438.713,131.593,20.5061,24.4291,41.7346,97.6116,489.188,1.4744,paperpub,13.9892,0.0747,4.4493,91.4284,5.1419,1.9912,1.2361,14.2558,0.6089,253.234,27.683,6.0888,2.3293,0.9958,9.9383,6.8567,0.6245,0.0157,0.1489,1.4387,22.1863,0.5792,0.3287,0.2086,1.828,2.494,1.1172,0.431042,0.014333,0.011971,0.017962,0.013795
37,arg,1997,chemicals,481.063,2.3173,35.4419,1364.56,309.666,969.333,488.163,464.845,225.331,257.242,10671.0,50.7513,5.5066,155.762,838.391,480.828,42.3699,33.7496,809.806,185.497,392.234,23.9103,10.4076,28.3646,72.4762,1017.52,4.2891,chemicals,153.587,1.5551,20.9435,207.563,6.0831,33.9255,8.3404,103.657,14.6142,24.3473,1065.16,6.4366,5.5067,3.3065,99.5753,45.5266,4.8617,0.1014,0.5169,0.6083,66.1299,0.6754,0.14,0.1418,1.3573,5.1876,3.2501,0.439616,0.060086,0.051184,0.071774,0.054916
38,arg,1997,nonmetmin,19.8413,0.0816,9.6948,147.131,438.761,18.9919,11.2572,13.4798,14.347,8.0997,152.896,1063.83,3.5878,20.6087,117.619,92.3526,3.7358,12.7615,3268.81,67.212,24.6102,5.1998,2.2498,8.4048,14.7352,442.657,0.6329,nonmetmin,6.3347,0.0548,5.7289,22.38,8.619,0.6647,0.1923,3.0059,0.9305,0.7666,15.2619,134.923,3.5878,0.4375,13.9695,8.7443,0.4287,0.0383,2.0865,0.2204,4.1492,0.1469,0.0303,0.042,0.276,2.2568,0.4796,0.537514,0.008034,0.008368,0.008986,0.00816
39,arg,1997,metals,42.2867,0.697,54.4591,327.148,130.369,50.1628,48.825,49.2576,69.197,26.8257,260.881,26.3288,805.739,2264.03,2183.02,2084.47,46.4686,20.394,3286.88,131.524,229.954,26.0618,12.8741,24.0801,64.2936,335.081,1.3809,metals,13.5007,0.4677,32.1812,49.7624,2.561,1.7556,0.8342,10.9841,4.4879,2.539,26.0407,3.3392,805.743,48.0611,259.276,197.365,5.332,0.0613,2.098,0.4313,38.7699,0.7361,0.1732,0.1204,1.204,1.7083,1.0464,0.542446,0.038469,0.040435,0.057576,0.037777
40,arg,1997,fabmetals,18.9541,0.8171,34.3761,332.415,115.291,45.6415,58.933,65.7491,65.3423,13.4387,191.878,10.7473,1.127,3917.17,145.745,210.184,8.7747,4.9281,1138.89,64.3977,63.775,4.5773,2.4056,5.0184,8.0496,129.976,0.409,fabmetals,6.0514,0.5483,20.3137,50.5635,2.2648,1.5974,1.0069,14.6616,4.2379,1.2719,19.1529,1.363,1.127,83.1542,17.3101,19.901,1.0068,0.0148,0.727,0.2112,10.7524,0.1293,0.0324,0.0251,0.1507,0.6627,0.3099,0.446932,0.005976,0.005175,0.009855,0.006169
41,arg,1997,transpequip,13.3981,0.0479,2.6398,34.8167,8.699,5.7371,4.5452,2.6427,1.3493,2.5824,8.5952,1.0672,0.4258,5.9405,7588.39,10.2084,0.2888,0.9804,11.7001,117.651,446.384,16.9232,16.4457,32.4113,80.2212,206.685,0.8359,transpequip,4.2775,0.0322,1.5599,5.296,0.1709,0.2008,0.0777,0.5893,0.0875,0.2444,0.858,0.1354,0.4258,0.1261,901.269,0.9666,0.0331,0.0029,0.0075,0.3858,75.2595,0.478,0.2212,0.162,1.5023,1.0537,0.6334,0.293195,0.086963,0.049406,0.037965,0.061331
42,arg,1997,machinery,46.3379,0.1204,28.5134,84.9421,16.8726,10.7909,7.3081,5.4312,3.1204,3.7977,29.7068,4.9746,9.082,34.4288,464.954,7312.14,1.8287,32.0752,529.198,90.2637,103.867,59.6322,12.9736,21.3863,63.1029,278.136,1.6439,machinery,14.7941,0.0808,16.8493,12.9205,0.3314,0.3777,0.1249,1.2111,0.2024,0.3594,2.9653,0.6309,9.082,0.7309,55.2224,692.341,0.2098,0.0963,0.3378,0.296,17.5118,1.6844,0.1745,0.1069,1.1817,1.418,1.2457,0.407341,0.052984,0.04182,0.03173,0.044224
43,arg,1997,othermanuf,0.4015,0.0034,0.1944,2.6147,0.8464,2.6289,11.329,0.4521,0.4789,2.4249,2.4653,0.1459,0.0544,3.236,10.2254,15.8804,258.409,0.1206,3.0465,22.1871,6.7726,0.984,0.3943,1.3123,2.6891,43.373,0.2373,othermanuf,0.1282,0.0023,0.1149,0.3977,0.0166,0.092,0.1936,0.1008,0.0311,0.2295,0.2461,0.0185,0.0544,0.0687,1.2145,1.5036,29.6509,0.0004,0.0019,0.0728,1.1418,0.0278,0.0053,0.0066,0.0504,0.2211,0.1798,0.459936,0.002213,0.001972,0.001363,0.002169
44,arg,1997,water,6.1416,0.0526,4.6255,83.2556,26.4861,18.805,12.5528,11.867,5.7707,5.1533,20.0255,3.7016,1.0631,9.3276,15.5888,18.0205,0.7889,2235.73,41.8497,27.7124,10.6079,8.2351,7.9749,25.2524,26.5014,129.646,0.2342,water,1.9608,0.0353,2.7333,12.664,0.5203,0.6582,0.2145,2.6462,0.3743,0.4877,1.9989,0.4695,1.0631,0.198,1.8515,1.7062,0.0905,6.7153,0.0267,0.0909,1.7885,0.2326,0.1073,0.1262,0.4963,0.661,0.1774,0.860743,0.000264,0.00044,0.001528,0.000286
46,arg,1997,distribution,0.7584,0.0026,0.1534,5.4608,2.1011,0.835,1.0557,0.524,0.3666,0.3802,1.381,0.0978,0.0456,0.4922,0.9827,0.8537,0.0461,0.0283,1.7289,19989.5,0.605,0.1364,0.0519,0.1249,0.1505,4.8152,1.6079,distribution,0.2421,0.0018,0.0907,0.8306,0.0413,0.0292,0.018,0.1169,0.0238,0.036,0.1379,0.0124,0.0456,0.0104,0.1167,0.0808,0.0053,0.0001,0.0011,65.5522,0.102,0.0039,0.0007,0.0006,0.0028,0.0245,1.2184,0.84749,0.002679,0.0044,0.00262,0.002906
48,arg,1997,communcation,30.1041,0.1865,13.2494,208.653,62.4697,46.6718,38.9249,24.2846,18.5692,31.9737,85.5477,15.6213,5.7044,48.9098,81.2759,102.37,3.1833,9.2162,117.337,279.202,46.4763,11721.2,71.983,130.8,154.849,359.277,1.5224,communcation,9.6112,0.1252,7.8294,31.7382,1.2272,1.6335,0.665,5.4153,1.2043,3.0262,8.5392,1.9812,5.7044,1.0383,9.6531,9.6928,0.3653,0.0277,0.0749,0.9156,7.8358,331.072,0.9684,0.6538,2.8999,1.8317,1.1536,0.934946,0.012226,0.02215,0.017033,0.013375
49,arg,1997,finance,239.01,0.9834,150.382,1474.71,411.135,464.492,281.983,179.672,110.797,125.268,519.899,72.0079,30.4131,280.351,556.201,463.559,19.3635,37.2469,657.351,304.937,204.175,115.506,7653.18,390.261,76.9362,355.361,3.9134,finance,76.3078,0.6599,88.8646,224.317,8.0763,16.2567,4.8177,40.0655,7.1859,11.8563,51.8955,9.1325,30.4132,5.9513,66.0597,43.8915,2.2218,0.1119,0.4196,1.0,34.4236,3.2626,102.961,1.9508,1.4408,1.8117,2.9654,0.898456,0.003836,0.006679,0.031952,0.004197
50,arg,1997,insurance,33.6523,0.1945,18.3172,268.687,63.8258,65.6407,61.0232,29.631,16.1494,17.2678,84.1058,11.4985,3.8427,36.4971,58.8448,83.0272,2.8388,4.5839,89.4355,24.3075,50.4053,13.076,18.8086,15723.6,14.3342,60.3068,0.456,insurance,10.744,0.1305,10.8241,40.8699,1.2538,2.2973,1.0426,6.6075,1.0474,1.6344,8.3953,1.4583,3.8428,0.7748,6.989,7.8613,0.3257,0.0138,0.0571,0.0797,8.4983,0.3693,0.253,78.5972,0.2684,0.3075,0.3456,0.894837,0.003029,0.005252,0.007428,0.003318
51,arg,1997,obsict,172.113,1.8889,125.97,1617.85,620.906,301.83,290.279,153.829,72.4079,197.951,650.886,72.7151,29.9722,278.449,595.583,618.296,20.2049,36.9175,888.608,735.078,277.993,161.666,235.749,494.68,10845.8,1608.89,5.3597,obsict,54.9497,1.2675,74.4387,246.09,12.1971,10.5637,4.9595,34.3027,4.6961,18.7356,64.9704,9.2222,29.9724,5.9109,70.7371,58.5426,2.3184,0.1109,0.5672,2.4106,46.8691,4.5664,3.1716,2.4727,203.113,8.2026,4.0613,0.845212,0.007857,0.012868,0.03733,0.008526
52,arg,1997,oconsumer,52.702,0.7467,23.4845,524.33,168.326,205.753,163.242,84.2,49.0617,83.3796,249.162,32.6903,12.8111,170.911,225.082,242.386,8.1345,11.1895,280.033,182.849,93.4833,82.8922,52.0808,304.36,123.578,21783.3,4.2757,oconsumer,16.8259,0.5011,13.8776,79.7557,3.3066,7.2011,2.789,18.776,3.182,7.8917,24.871,4.146,12.8112,3.6281,26.7329,22.9501,0.9334,0.0336,0.1787,0.5996,15.7611,2.3413,0.7007,1.5214,2.3143,111.057,3.2399,0.668721,0.005508,0.007137,0.014786,0.005818
54,aus,1997,primaryagr,5884.88,24.2051,5.9438,4800.0,473.167,236.861,88.6104,39.2623,15.6452,6.1491,39.7285,0.669,14.1883,2.2105,20.6931,20.907,4.6123,0.3707,103.35,417.089,22.7216,5.0492,4.4067,0.9979,11.0677,159.198,195.495,primaryagr,4427.03,20.6829,4.4587,1440.93,66.7752,131.826,7.7477,18.7306,2.6921,1.4947,19.3595,0.7305,15.5372,1.1393,5.1445,9.5829,3.1507,0.0084,0.1747,14.3497,8.9414,1.0109,0.5971,0.2011,2.766,14.1611,3.2303,0.524296,0.101989,0.122553,0.101965,0.108365
55,aus,1997,otherprim,33.194,3168.75,220.452,160.816,53.7711,9.359,6.2174,4.4389,180.596,39.2902,74.0991,25.208,882.27,33.6311,149.576,198.901,112.65,2.0185,727.696,328.233,75.2299,11.202,3.4821,0.7692,16.0789,89.6051,321.093,otherprim,24.9709,2707.65,165.369,48.2761,7.5884,5.2088,0.5436,2.1177,31.0758,9.5508,36.1082,27.5252,966.147,17.3341,37.1862,91.1683,76.9506,0.0455,1.2298,11.2926,29.6046,2.2427,0.4718,0.155,4.0184,7.9706,5.3057,0.434204,0.074893,0.07453,0.070743,0.075157
56,aus,1997,energy,264.191,327.362,8225.62,653.675,169.845,79.9815,54.1295,22.0584,132.103,76.7471,327.849,26.0366,1259.85,48.4486,353.574,279.298,35.861,13.2704,946.133,1062.98,1254.98,53.9235,21.9511,4.8485,129.756,330.581,1613.11,energy,198.743,279.726,6170.33,196.229,23.9692,44.5139,4.7328,10.5233,22.7315,18.6559,159.759,28.4299,1379.62,24.9713,87.9024,128.019,24.4964,0.2994,1.599,36.5712,493.864,10.7957,2.9745,0.9771,32.4282,29.4061,26.655,0.539577,0.119977,0.14837,0.154672,0.118819
57,aus,1997,procfoods,122.243,21.4416,4.3458,6395.12,62.4094,8.9759,6.301,38.3074,6.4096,4.3472,21.0974,0.4258,10.4468,1.1184,13.27,10.4946,1.9202,0.2675,42.1342,337.117,15.257,4.019,3.0908,0.652,6.6527,35.542,121.449,procfoods,91.9601,18.3215,3.2599,1919.78,8.8075,4.9956,0.5509,18.2751,1.1029,1.0567,10.2807,0.465,11.44,0.5765,3.2991,4.8103,1.3117,0.006,0.0712,11.5983,6.004,0.8046,0.4188,0.1314,1.6626,3.1616,2.0068,0.257598,0.088269,0.052113,0.03484,0.092247
