,iso3,year,sector_GMatrix,g_primaryagr,g_otherprim,g_energy,g_procfoods,g_bevtobacco,g_textiles,g_clothing,g_leather,g_lumber,g_paperpub,g_chemicals,g_nonmetmin,g_metals,g_fabmetals,g_transpequip,g_machinery,g_othermanuf,g_water,g_construction,g_distribution,g_transport,g_communcation,g_finance,g_insurance,g_obsict,g_oconsumer,g_oservices,sector_HMatrix,h_primaryagr,h_otherprim,h_energy,h_procfoods,h_bevtobacco,h_textiles,h_clothing,h_leather,h_lumber,h_paperpub,h_chemicals,h_nonmetmin,h_metals,h_fabmetals,h_transpequip,h_machinery,h_othermanuf,h_water,h_construction,h_distribution,h_transport,h_communcation,h_finance,h_insurance,h_obsict,h_oconsumer,h_oservices,DomVAshare,GXshare,DXshare,VXsharefwd,VXsharebwd
1000,mar,1997,otherprim,14.5775,670.638,0.1724,40.3357,0.6616,1.4725,4.9999,0.4633,0.9953,5.4505,304.007,6.4108,4.0022,4.4126,3.6592,20.6999,29.9439,0.0004,61.1586,8.2521,14.8667,0.7024,0.3117,0.3764,2.4134,4.5104,82.1837,otherprim,1.324,441.655,0.0185,8.2477,0.0615,1.2956,3.5082,0.061,0.2124,1.1883,179.332,1.099,3.5443,0.2528,0.3731,10.1364,6.7699,0.0,0.1801,0.3842,6.9952,0.4052,0.0215,0.1616,1.2948,0.143,8.6426,0.658693,0.071901,0.125324,0.095992,0.083632
2000,bra,2001,energy,567.395,402.808,3543.83,1938.03,180.059,144.556,232.511,193.525,123.342,306.055,1037.97,163.939,955.13,108.669,885.961,935.299,173.172,116.467,1452.53,995.17,1605.07,44.1688,12.6656,384.758,533.781,41.4124,1618.16,energy,338.212,372.556,1030.33,434.08,3.8052,50.8337,9.811,129.599,69.3577,195.228,358.94,149.193,1075.49,62.0594,369.578,295.222,24.5022,0.8926,0.724,17.0741,301.438,2.8594,2.049,7.1208,69.3932,1.1657,8.0549,0.414571,0.026143,0.029964,0.093628,0.025269
3000,mus,2001,procfoods,0.1127,0.0589,0.0366,184.939,0.8409,0.0413,0.869,0.0022,0.0003,0.0183,0.0915,0.9655,0.272,0.2693,0.0475,0.0503,1.1569,0.0024,1.1007,0.0701,0.036,0.0063,0.0026,0.0031,0.0151,0.024,0.2586,procfoods,0.0298,0.0099,0.0279,131.096,0.2461,0.0399,0.7831,0.0006,0.0003,0.0072,0.0274,0.7977,0.1065,0.1244,0.0077,0.0339,0.832,0.0004,0.0109,0.0636,0.0271,0.0014,0.0014,0.001,0.006,0.0136,0.0278,0.272679,0.148584,0.09292,0.069181,0.163263
4000,bel,2004,bevtobacco,18.5941,7.9357,0.2226,114.591,1257.03,1.4526,0.6174,3.0729,0.909,10.5786,24.6711,0.9647,2.9193,0.7675,3.1417,9.1091,2.0356,0.0192,8.2472,105.957,12.7037,1.0571,0.5211,0.7428,20.2248,6.4823,37.5781,bevtobacco,16.3355,8.2794,0.5426,83.3438,481.087,1.3805,0.7107,4.1775,0.9061,8.4687,25.4365,0.9042,2.9824,0.7586,3.2026,8.6124,2.202,0.0027,0.2894,12.5927,9.5868,0.4087,0.2199,0.1496,6.4058,0.999,1.1045,0.170859,0.009111,0.005881,0.005527,0.008376
5000,hrv,2004,textiles,0.5124,0.0563,-0.0308,0.1235,0.2452,95.4105,0.4656,0.293,0.0653,0.1054,0.8926,0.1411,0.0083,0.0897,0.2086,0.6115,0.4795,0.0036,0.1092,0.0435,0.1226,0.0165,0.0,0.0,0.0825,0.0161,0.0067,textiles,0.0459,0.0196,0.0081,0.0278,0.0614,92.2479,0.4111,0.2265,0.073,0.0506,0.6052,0.0667,0.0089,0.0389,0.4015,0.2401,0.1617,0.0009,0.0112,0.0155,0.0802,0.0059,0.0,0.0,0.0286,0.0078,0.0002,0.272361,0.02006,0.015429,0.00935,0.012242
6000,pak,2004,clothing,8.2511,0.1857,0.4085,10.2417,2.6506,11.4498,771.059,0.715,0.3247,0.0158,0.7414,0.5218,0.0468,0.1318,0.2572,0.9423,1.1949,0.0286,2.0762,6.4171,1.7764,0.3041,0.0556,0.2181,11.3282,16.6552,8.3804,clothing,0.1594,0.0233,0.0513,1.1433,0.0701,7.6603,617.028,0.4257,0.0695,0.0146,0.1847,0.055,0.0247,0.1303,0.0734,0.1869,0.6396,0.0,0.0067,0.0773,0.2185,0.0566,0.0306,0.0095,2.5221,0.0846,0.5268,0.226286,0.143998,0.104019,0.047664,0.144826
7000,aus,2007,leather,0.2045,0.5116,0.5469,1.4738,0.5062,0.6385,3.8133,193.426,0.0614,0.2762,0.9551,0.0288,1.2642,0.4188,1.4805,2.0929,6.649,0.0881,5.7829,7.4696,1.2007,0.497,0.1657,0.115,1.1726,15.0491,5.5489,leather,0.1144,0.6582,0.5353,0.5606,0.1952,0.2479,0.2496,110.867,0.1218,0.0617,0.6153,0.0265,1.3409,0.1529,0.4361,0.8563,1.2147,0.003,0.0058,0.3104,0.4164,0.048034,0.0135,0.0112,0.2104,1.5073,0.0862,0.247352,0.002457,0.001644,0.000858,0.002369
