,iso3,year,sector_GMatrix,g_primaryagr,g_otherprim,g_energy,g_procfoods,g_bevtobacco,g_textiles,g_clothing,g_leather,g_lumber,g_paperpub,g_chemicals,g_nonmetmin,g_metals,g_fabmetals,g_transpequip,g_machinery,g_othermanuf,g_water,g_construction,g_distribution,g_transport,g_communcation,g_finance,g_insurance,g_obsict,g_oconsumer,g_oservices,sector_HMatrix,h_primaryagr,h_otherprim,h_energy,h_procfoods,h_bevtobacco,h_textiles,h_clothing,h_leather,h_lumber,h_paperpub,h_chemicals,h_nonmetmin,h_metals,h_fabmetals,h_transpequip,h_machinery,h_othermanuf,h_water,h_construction,h_distribution,h_transport,h_communcation,h_finance,h_insurance,h_obsict,h_oconsumer,h_oservices,DomVAshare,GXshare,DXshare,VXsharefwd,VXsharebwd
22,alb,1997,finance,1.9537,0.3821,8.2744,1.9526,0.1124,0.4076,1.3431,1.8681,0.4772,0.2611,0.2196,0.174,0.6045,0.4508,0.0838,0.2485,0.0902,0.0612,3.5496,7.7522,1.0736,0.7356,3.8365,0.0708,4.3861,0.3221,3.7485,finance,0.3247,0.1841,4.3882,0.0578,0.0128,0.1956,1.2091,1.6849,0.1754,0.0279,0.1111,0.0356,0.6046,0.0649,0.0404,0.187,0.0586,0.0013,0.0072,0.0671,0.2653,0.2961,0.8464,0.0063,0.0901,0.0391,0.154,0.6453,0.002988,0.004902,0.035908,0.003401
49,arg,1997,finance,239.01,0.9834,150.382,1474.71,411.135,464.492,281.983,179.672,110.797,125.268,519.899,72.0079,30.4131,280.351,556.201,463.559,19.3635,37.2469,657.351,304.937,204.175,115.506,7653.18,390.261,76.9362,355.361,3.9134,finance,76.3078,0.6599,88.8646,224.317,8.0763,16.2567,4.8177,40.0655,7.1859,11.8563,51.8955,9.1325,30.4132,5.9513,66.0597,43.8915,2.2218,0.1119,0.4196,1.0,34.4236,3.2626,102.961,1.9508,1.4408,1.8117,2.9654,0.898456,0.003836,0.006679,0.031952,0.004197
76,aus,1997,finance,234.107,182.793,146.953,614.294,199.718,67.2836,63.3243,20.7833,95.5479,73.2942,135.457,9.4712,258.049,27.4614,278.918,196.524,29.5364,15.9366,1243.95,1855.78,390.99,82.8817,3102.26,587.423,338.517,452.249,7965.56,finance,176.112,156.194,110.235,184.407,28.185,37.4469,5.5368,9.9149,16.4413,17.8166,66.0078,10.3417,282.582,14.1541,69.3419,90.0789,20.1761,0.3595,2.1023,63.8467,153.863,16.5932,420.374,118.387,84.6009,40.2288,131.622,0.691019,0.007162,0.011344,0.038131,0.008114
103,aut,1997,finance,5.3427,2.5639,7.2771,57.772,7.6445,4.5967,3.7419,2.5379,12.1303,18.1792,30.8284,16.0859,22.1665,18.7175,32.2139,96.7708,27.7749,-0.1888,118.249,153.395,73.2782,11.2944,107.264,7.9709,153.947,36.8652,49.3652,finance,1.624,1.0624,5.7293,10.5285,2.3019,4.5308,2.5398,2.1682,10.2454,17.3529,27.6406,10.1443,21.0553,11.5638,26.052,83.4714,6.5573,0.0001,4.2662,14.7774,40.2507,1.928,108.696,4.9013,37.9732,5.493,0.6029,0.211039,0.006516,0.003543,0.009546,0.007074
130,bel,1997,finance,9.3737,1.1043,1.1135,42.0724,4.7952,16.9052,5.1006,3.3072,8.5805,6.8046,53.6479,9.2531,15.829,9.7934,24.0917,69.6541,26.2773,0.5319,50.2593,77.2396,53.911,2.2386,2698.41,401.392,32.5914,46.4131,208.412,finance,7.7764,0.8441,2.8484,22.2485,2.5206,15.4267,4.6208,3.2719,4.5977,5.4632,51.2335,8.5651,15.5228,6.3488,22.1374,61.2202,25.6361,0.0178,2.0396,5.6559,37.6854,0.9759,1358.34,110.465,14.7946,5.1234,6.8324,0.259557,0.021311,0.016492,0.021962,0.028531
157,bgd,1997,finance,17.0262,22.6807,1.121,68.5059,1.3524,35.7583,20.6754,5.4782,2.0688,0.8979,4.1789,1.739,-7.8633,5.0765,4.138,4.5039,1.8847,0.0002,31.2791,9.6289,15.0277,0.033,91.9906,0.1075,2.9488,15.3833,51.6687,finance,0.6401,0.1802,0.0004,2.5991,0.0138,12.1968,19.9312,4.24,0.027,0.0477,2.8222,0.8192,0.053,0.0528,0.3226,0.6254,0.4631,0.0,0.0238,0.1061,0.5593,0.0453,8.2794,0.0216,0.235,0.0636,3.6695,0.644127,0.002351,0.005313,0.01441,0.003034
184,bgr,1997,finance,7.3402,0.522,4.734,8.9381,3.3751,1.5542,3.0145,1.4615,0.899,0.6156,5.6886,1.382,5.6143,0.5455,1.7251,4.6133,0.6461,0.1822,4.9428,8.5039,8.1868,0.9707,5.8419,0.1114,9.5908,0.6626,8.1979,finance,0.9686,0.34,2.0845,1.5111,1.0836,1.4058,2.4923,1.1974,0.8609,0.4421,5.1272,1.2936,5.5786,0.452,0.7759,2.8869,0.2318,0.0049,0.5846,0.2378,5.562,0.2185,5.3706,0.0476,1.6235,0.0688,0.3397,0.048585,0.010504,0.007964,0.011461,0.011251
211,bra,1997,finance,1322.3,281.756,626.566,4382.39,349.963,561.619,932.182,396.783,558.89,396.062,1406.44,159.206,654.72,268.855,1858.76,2115.81,658.701,235.384,3901.54,3709.77,1626.73,73.9547,2909.58,324.932,120.623,288.72,7225.93,finance,254.609,165.9,50.1534,414.559,19.9586,67.1886,7.9463,92.8927,71.5802,114.752,218.415,71.4955,559.49,46.6461,373.248,322.307,30.442,0.49,2.6951,35.0999,145.763,0.8119,51.7527,21.7847,35.994,1.4936,22.0619,0.832127,0.000993,0.002209,0.061169,0.001107
238,bwa,1997,finance,0.0161,0.0442,0.0013,0.0533,0.0108,0.001,0.0008,0.0004,0.0008,0.0015,0.0069,0.0011,0.0001,0.0025,0.0578,0.0027,0.1028,0.0007,0.0675,0.0089,0.0049,0.0006,98.1214,0.0012,0.0036,0.0174,32.9362,finance,0.0039,0.0441,0.0008,0.0154,0.0002,0.0009,0.0007,0.0004,0.0002,0.0012,0.0057,0.0002,0.0001,0.0009,0.0578,0.0023,0.0211,0.0,0.0008,0.0008,0.0037,0.0002,10.3631,0.0004,0.0019,0.0037,0.5702,0.830025,0.004231,0.004748,0.004447,0.004647
265,can,1997,finance,390.413,137.128,924.537,711.354,159.482,84.4374,102.316,18.3146,465.416,438.554,592.011,60.0078,268.378,84.2119,926.621,695.449,69.4988,111.203,2364.91,2004.59,1138.31,179.993,3642.67,386.696,427.017,544.323,1519.87,finance,289.767,97.9144,825.154,177.168,28.256,45.7525,19.2406,5.2766,378.769,299.292,393.956,55.8917,273.436,67.4834,764.719,533.275,31.1886,0.5437,2.208,21.6889,276.404,4.4393,93.9507,12.0283,234.091,9.9486,17.1669,0.720455,0.000506,0.000965,0.030403,0.000695
