,iso3,year,sector_GMatrix,g_primaryagr,g_otherprim,g_energy,g_procfoods,g_bevtobacco,g_textiles,g_clothing,g_leather,g_lumber,g_paperpub,g_chemicals,g_nonmetmin,g_metals,g_fabmetals,g_transpequip,g_machinery,g_othermanuf,g_water,g_construction,g_distribution,g_transport,g_communcation,g_finance,g_insurance,g_obsict,g_oconsumer,g_oservices,sector_HMatrix,h_primaryagr,h_otherprim,h_energy,h_procfoods,h_bevtobacco,h_textiles,h_clothing,h_leather,h_lumber,h_paperpub,h_chemicals,h_nonmetmin,h_metals,h_fabmetals,h_transpequip,h_machinery,h_othermanuf,h_water,h_construction,h_distribution,h_transport,h_communcation,h_finance,h_insurance,h_obsict,h_oconsumer,h_oservices,DomVAshare,GXshare,DXshare,VXsharefwd,VXsharebwd
0,alb,1997,primaryagr,93.3774,0.0143,0.2158,25.0267,0.3817,0.1455,0.9488,1.6739,0.0428,0.1004,0.0057,0.0046,0.0158,0.0208,0.0022,0.013,0.0024,0.001,0.2635,2.3626,0.2742,0.0444,0.0088,0.0183,4.775,0.1801,0.6611,primaryagr,15.5185,0.0069,0.1144,0.7409,0.0435,0.0698,0.8541,1.5097,0.0157,0.0107,0.0029,0.0009,0.0158,0.003,0.0011,0.0098,0.0015,0.0,0.0005,0.0204,0.0677,0.0179,0.0019,0.0016,0.0981,0.0219,0.0272,0.403022,0.076044,0.077912,0.061838,0.063078
1,alb,1997,otherprim,0.0521,5.7779,0.0979,0.1047,0.0016,0.0062,0.027,0.2404,2.2509,0.1978,0.0026,0.0022,0.0072,0.012,0.001,0.0058,0.0011,0.0005,1.03,0.3639,0.0331,0.0085,0.0017,0.0022,0.1146,0.0182,0.1039,otherprim,0.0087,2.7843,0.0519,0.0031,0.0002,0.003,0.0243,0.2168,0.8272,0.0211,0.0013,0.0005,0.0072,0.0017,0.0005,0.0044,0.0007,0.0,0.0021,0.0031,0.0082,0.0034,0.0004,0.0002,0.0024,0.0022,0.0043,0.431719,0.014879,0.01633,0.012844,0.015691
2,alb,1997,energy,12.8071,3.0441,195.573,19.9136,0.57,7.788,21.7902,17.113,5.2173,4.8667,5.1899,4.1073,14.2867,9.3565,1.9809,4.3321,2.1326,0.2622,35.8618,26.3265,11.4005,0.8181,0.0851,0.1182,6.4698,0.7543,5.4805,energy,2.1284,1.467,103.72,0.5896,0.0649,3.737,19.6156,15.4343,1.9173,0.5194,2.6256,0.84,14.2889,1.348,0.9543,3.2601,1.3847,0.0054,0.073,0.2277,2.8167,0.3293,0.0188,0.0105,0.1329,0.0917,0.2251,0.64915,0.328693,0.542429,0.573427,0.384193
3,alb,1997,procfoods,0.8223,0.0041,0.0706,26.5645,0.0075,0.0079,0.0795,0.8415,0.0105,0.0074,0.0019,0.0015,0.0052,0.0063,0.0007,0.004,0.0008,0.0003,0.0824,1.0956,0.0518,0.0076,0.0014,0.0021,1.3181,0.0166,0.1967,procfoods,0.1367,0.002,0.0374,0.7865,0.0009,0.0038,0.0716,0.7589,0.0039,0.0008,0.0009,0.0003,0.0052,0.0009,0.0003,0.003,0.0005,0.0,0.0002,0.0095,0.0128,0.0031,0.0003,0.0002,0.0271,0.002,0.0081,0.195775,0.00892,0.004439,0.006052,0.008129
4,alb,1997,bevtobacco,0.0022,0.0003,0.0036,0.0026,0.6704,0.0003,0.0013,0.0014,0.0007,0.0003,0.0001,0.0001,0.0003,0.0003,0.0,0.0002,0.0,0.0,0.0044,0.0397,0.003,0.0006,0.0001,0.0002,0.1036,0.0018,0.0069,bevtobacco,0.0004,0.0001,0.0019,0.0001,0.0763,0.0002,0.0011,0.0013,0.0003,0.0,0.0,0.0,0.0003,0.0,0.0,0.0002,0.0,0.0,0.0,0.0003,0.0007,0.0002,0.0,0.0,0.0021,0.0002,0.0003,0.214904,0.00082,0.000448,0.000278,0.00071
