,iso3,year,sector_GMatrix,g_primaryagr,g_otherprim,g_energy,g_procfoods,g_bevtobacco,g_textiles,g_clothing,g_leather,g_lumber,g_paperpub,g_chemicals,g_nonmetmin,g_metals,g_fabmetals,g_transpequip,g_machinery,g_othermanuf,g_water,g_construction,g_distribution,g_transport,g_communcation,g_finance,g_insurance,g_obsict,g_oconsumer,g_oservices,sector_HMatrix,h_primaryagr,h_otherprim,h_energy,h_procfoods,h_bevtobacco,h_textiles,h_clothing,h_leather,h_lumber,h_paperpub,h_chemicals,h_nonmetmin,h_metals,h_fabmetals,h_transpequip,h_machinery,h_othermanuf,h_water,h_construction,h_distribution,h_transport,h_communcation,h_finance,h_insurance,h_obsict,h_oconsumer,h_oservices,DomVAshare,GXshare,DXshare,VXsharefwd,VXsharebwd
2,alb,1997,energy,12.8071,3.0441,195.573,19.9136,0.57,7.788,21.7902,17.113,5.2173,4.8667,5.1899,4.1073,14.2867,9.3565,1.9809,4.3321,2.1326,0.2622,35.8618,26.3265,11.4005,0.8181,0.0851,0.1182,6.4698,0.7543,5.4805,energy,2.1284,1.467,103.72,0.5896,0.0649,3.737,19.6156,15.4343,1.9173,0.5194,2.6256,0.84,14.2889,1.348,0.9543,3.2601,1.3847,0.0054,0.073,0.2277,2.8167,0.3293,0.0188,0.0105,0.1329,0.0917,0.2251,0.64915,0.328693,0.542429,0.573427,0.384193
24,alb,1997,obsict,1.0194,0.0874,1.6644,1.0064,0.0211,0.154,0.4973,0.6183,0.2204,0.1401,0.0442,0.0352,0.1216,0.1419,0.0169,0.0966,0.0182,0.009,1.9655,8.5792,1.7924,0.27,0.0506,0.0707,79.6147,0.4119,1.1648,obsict,0.1694,0.0421,0.8827,0.0298,0.0024,0.0739,0.4477,0.5576,0.081,0.015,0.0223,0.0072,0.1216,0.0204,0.0081,0.0727,0.0118,0.0002,0.004,0.0742,0.4429,0.1087,0.0112,0.0063,1.6353,0.05,0.0478,0.487694,0.00743,0.009212,0.01595,0.007003
29,arg,1997,energy,282.792,1.9522,4426.86,860.107,158.531,200.639,116.962,101.347,66.0733,63.9783,287.11,65.5608,32.6542,164.067,243.042,190.043,30.1123,41.6624,469.244,364.245,1133.89,134.76,47.9624,136.188,189.028,467.427,1.5383,energy,90.2857,1.31,2615.94,130.831,3.1142,7.0221,1.9983,22.5996,4.2853,6.0554,28.6589,8.3149,32.6544,3.4828,28.8659,17.994,3.4552,0.1251,0.2995,1.1945,191.171,3.8064,0.6453,0.6808,3.54,2.3831,1.1656,0.572253,0.105926,0.117457,0.12242,0.111859
39,arg,1997,metals,42.2867,0.697,54.4591,327.148,130.369,50.1628,48.825,49.2576,69.197,26.8257,260.881,26.3288,805.739,2264.03,2183.02,2084.47,46.4686,20.394,3286.88,131.524,229.954,26.0618,12.8741,24.0801,64.2936,335.081,1.3809,metals,13.5007,0.4677,32.1812,49.7624,2.561,1.7556,0.8342,10.9841,4.4879,2.539,26.0407,3.3392,805.743,48.0611,259.276,197.365,5.332,0.0613,2.098,0.4313,38.7699,0.7361,0.1732,0.1204,1.204,1.7083,1.0464,0.542446,0.038469,0.040435,0.057576,0.037777
49,arg,1997,finance,239.01,0.9834,150.382,1474.71,411.135,464.492,281.983,179.672,110.797,125.268,519.899,72.0079,30.4131,280.351,556.201,463.559,19.3635,37.2469,657.351,304.937,204.175,115.506,7653.18,390.261,76.9362,355.361,3.9134,finance,76.3078,0.6599,88.8646,224.317,8.0763,16.2567,4.8177,40.0655,7.1859,11.8563,51.8955,9.1325,30.4132,5.9513,66.0597,43.8915,2.2218,0.1119,0.4196,1.0,34.4236,3.2626,102.961,1.9508,1.4408,1.8117,2.9654,0.898456,0.003836,0.006679,0.031952,0.004197
51,arg,1997,obsict,172.113,1.8889,125.97,1617.85,620.906,301.83,290.279,153.829,72.4079,197.951,650.886,72.7151,29.9722,278.449,595.583,618.296,20.2049,36.9175,888.608,735.078,277.993,161.666,235.749,494.68,10845.8,1608.89,5.3597,obsict,54.9497,1.2675,74.4387,246.09,12.1971,10.5637,4.9595,34.3027,4.6961,18.7356,64.9704,9.2222,29.9724,5.9109,70.7371,58.5426,2.3184,0.1109,0.5672,2.4106,46.8691,4.5664,3.1716,2.4727,203.113,8.2026,4.0613,0.845212,0.007857,0.012868,0.03733,0.008526
55,aus,1997,otherprim,33.194,3168.75,220.452,160.816,53.7711,9.359,6.2174,4.4389,180.596,39.2902,74.0991,25.208,882.27,33.6311,149.576,198.901,112.65,2.0185,727.696,328.233,75.2299,11.202,3.4821,0.7692,16.0789,89.6051,321.093,otherprim,24.9709,2707.65,165.369,48.2761,7.5884,5.2088,0.5436,2.1177,31.0758,9.5508,36.1082,27.5252,966.147,17.3341,37.1862,91.1683,76.9506,0.0455,1.2298,11.2926,29.6046,2.2427,0.4718,0.155,4.0184,7.9706,5.3057,0.434204,0.074893,0.07453,0.070743,0.075157
56,aus,1997,energy,264.191,327.362,8225.62,653.675,169.845,79.9815,54.1295,22.0584,132.103,76.7471,327.849,26.0366,1259.85,48.4486,353.574,279.298,35.861,13.2704,946.133,1062.98,1254.98,53.9235,21.9511,4.8485,129.756,330.581,1613.11,energy,198.743,279.726,6170.33,196.229,23.9692,44.5139,4.7328,10.5233,22.7315,18.6559,159.759,28.4299,1379.62,24.9713,87.9024,128.019,24.4964,0.2994,1.599,36.5712,493.864,10.7957,2.9745,0.9771,32.4282,29.4061,26.655,0.539577,0.119977,0.14837,0.154672,0.118819
64,aus,1997,chemicals,237.251,78.5385,56.762,520.302,166.242,58.6778,30.2456,29.2909,106.389,45.8411,2222.88,6.0657,111.983,15.1284,210.438,185.801,27.2872,4.3674,473.854,368.33,121.911,27.0825,5.1892,1.2455,35.1573,187.274,801.647,chemicals,178.477,67.11,42.5792,156.191,23.4608,32.6573,2.6445,13.9736,18.3068,11.1432,1083.2,6.6232,122.63,7.7975,52.317,85.1638,18.6397,0.0985,0.8008,12.6721,47.9747,5.422,0.7032,0.251,8.7864,16.6585,13.2464,0.314661,0.038183,0.027536,0.033257,0.033208
69,aus,1997,machinery,32.4808,68.1851,64.4102,63.4022,18.2615,5.9114,4.4115,1.6068,14.3128,17.2802,14.7336,1.5904,46.4438,6.1434,94.976,4411.91,8.9905,1.1499,821.646,260.589,50.3732,67.3996,4.8403,1.1306,28.7678,145.873,419.508,machinery,24.4344,58.2632,48.3164,19.033,2.5771,3.29,0.3857,0.7665,2.4629,4.2005,7.1796,1.7366,50.8592,3.1664,23.612,2022.24,6.1413,0.0259,1.3886,8.9654,19.823,13.4936,0.6559,0.2278,7.1896,12.9759,6.9319,0.394898,0.065429,0.059218,0.038514,0.056605
